id;sku;name;unit;quantity;note
P-001;SKU-101;Молоко пастеризоване 2.5% 900г;пак;150;Холодильник 1
P-002;SKU-102;Хліб пшеничний нарізний;шт;80;Щоденна доставка
P-003;SKU-103;Сир твердий Гауда 45%;кг;45;Вакуумна упаковка
P-004;SKU-104;Масло вершкове 82.5% 200г;пач;120;Холодильник 2
P-005;SKU-105;Яблука Голден свіжі;кг;350;Ящики по 15 кг
P-006;SKU-106;Борошно пшеничне вищого ґатунку 2кг;пак;200;Сухий склад
P-007;SKU-107;Цукор білий кристалічний 1кг;пак;300;Сухий склад
P-008;SKU-108;Кава зернова Арабіка 1кг;пач;40;Стелаж А-3
P-009;SKU-109;Чай чорний байховий 100г;уп;95;
P-010;SKU-110;Вода мінеральна газована 1.5л;пляш;240;Упаковки по 6 шт
P-011;SKU-111;Крупа гречана ядриця 1кг;пак
P-012;SKU-112;Шоколад чорний 85% 90г;шт;багато;Кондитерський відділ
P-013;;Банани свіжі фасовані;кг;60;
